"Date","Account","Description","Check #","Category","Memo","Credit","Debit"
"04/02/2024","Associated Balanced Checking","FPL NORTHWEST FL ELEC PYMTS  MARK TURCHIK","","Payments & Transfers/","","","-123.25"
"04/02/2024","Associated Balanced Checking","EVERMAN CO","","Groceries/","","","-31.74"
"04/01/2024","Associated Balanced Checking","Bridgecrest","","Loans & Mortgages/","","","-425.00"
"04/01/2024","Associated Balanced Checking","MEDIAMONAR","","Entertainment/","","","-5.00"
"04/01/2024","Associated Balanced Checking","MAKUNA","","Groceries/","","","-31.86"
"04/01/2024","Associated Balanced Checking","THE PR","","Groceries/","","","-40.36"
"04/01/2024","Associated Balanced Checking","TACOS","","Dining/","","","-38.40"
"04/01/2024","Associated Balanced Checking","CITY PARKI","","Transportation/","","","-0.66"
"04/01/2024","Associated Balanced Checking","SECOND","","Dining/","","","-15.34"
"03/29/2024","Associated Balanced Checking","FRONTE","","Dining/","","","-22.65"
"03/29/2024","Associated Balanced Checking","Publix","","Groceries/","","","-52.79"
"03/28/2024","Associated Balanced Checking","Chase Credit Card","","Payments & Transfers/","","","-714.04"
"03/28/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-267.60"
"03/28/2024","Associated Balanced Checking","Petco","","Household/","","","-42.01"
"03/28/2024","Associated Balanced Checking","BON BE","","Dining/","","","-15.50"
"03/27/2024","Associated Balanced Checking","Publix","","Groceries/","","","-17.25"
"03/26/2024","Associated Balanced Checking","BLIZZA","","Entertainment/","","","-14.99"
"03/26/2024","Associated Balanced Checking","BRANDT INFORMATI PAYROLL  TURCHIK  MARK JAMES","","Paycheck, Pensions & Annuity/","","2833.69",""
"03/25/2024","Associated Balanced Checking","Chase Credit Card","","Payments & Transfers/","","","-300.00"
"03/25/2024","Associated Balanced Checking","Google","","Office Expenses/","","","-4.19"
"03/25/2024","Associated Balanced Checking","THE PR","","Groceries/","","","-40.36"
"03/25/2024","Associated Balanced Checking","Publix","","Groceries/","","","-64.57"
"03/22/2024","Associated Balanced Checking","DADGUM","","Dining/","","","-32.50"
"03/22/2024","Associated Balanced Checking","BON BE","","Dining/","","","-20.09"
"03/21/2024","Associated Balanced Checking","RaceWay","","Transportation/","","","-29.82"
"03/20/2024","Associated Balanced Checking","WEB FR DDA TO SAV  CONFIRMATION","","Savings & Investments/","","","-125.00"
"03/20/2024","Associated Balanced Checking","FRONTE","","Dining/","","","-25.16"
"03/20/2024","Associated Balanced Checking","Publix","","Groceries/","","","-42.78"
"03/20/2024","Associated Balanced Checking","BON BE","","Dining/","","","-8.47"
"03/18/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-500.00"
"03/18/2024","Associated Balanced Checking","Paypal","","Payments & Transfers/","","","-379.53"
"03/18/2024","Associated Balanced Checking","iTunes","","Entertainment/","","","-2.99"
"03/18/2024","Associated Balanced Checking","BON BE","","Dining/","","","-20.59"
"03/18/2024","Associated Balanced Checking","Google","","Office Expenses/","","","-5.27"
"03/18/2024","Associated Balanced Checking","Publix","","Groceries/","","","-85.33"
"03/18/2024","Associated Balanced Checking","MAKUNA","","Groceries/","","","-30.94"
"03/18/2024","Associated Balanced Checking","SQ * ALL AB","","Dining/","","","-8.29"
"03/18/2024","Associated Balanced Checking","MAKER","","Dining/","","","-13.44"
"03/18/2024","Associated Balanced Checking","THE PR","","Groceries/","","","-40.36"
"03/18/2024","Associated Balanced Checking","CITY PARKI","","Transportation/","","","-0.66"
"03/18/2024","Associated Balanced Checking","BON BE","","Dining/","","","-16.11"
"03/15/2024","Associated Balanced Checking","BON BE","","Dining/","","","-10.07"
"03/15/2024","Associated Balanced Checking","BON BE","","Dining/","","","-20.09"
"03/14/2024","Associated Balanced Checking","Spotify","","Entertainment/","","","-12.11"
"03/14/2024","Associated Balanced Checking","Publix","","Groceries/","","","-72.00"
"03/14/2024","Associated Balanced Checking","LITTLE","","Health & Lifestyle/","","","-102.00"
"03/13/2024","Associated Balanced Checking","DISCOVER","","Payments & Transfers/","","","-198.00"
"03/13/2024","Associated Balanced Checking","Petco","","Household/","","","-9.99"
"03/13/2024","Associated Balanced Checking","Google","","Entertainment/","","","-14.76"
"03/13/2024","Associated Balanced Checking","MRS J","","Groceries/","","","-22.76"
"03/13/2024","Associated Balanced Checking","BRANDT INFORMATI PAYROLL  TURCHIK  MARK JAMES","","Paycheck, Pensions & Annuity/","","5156.25",""
"03/12/2024","Associated Balanced Checking","Progressive","","Insurance/","","","-611.55"
"03/12/2024","Associated Balanced Checking","Publix","","Groceries/","","","-47.27"
"03/11/2024","Associated Balanced Checking","DEPT EDUCATION","","Loans & Mortgages/","","","-100.00"
"03/11/2024","Associated Balanced Checking","Publix","","Groceries/","","","-144.61"
